YEAR,MONTH,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District.of.Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New.Hampshire,New.Jersey,New.Mexico,New.York,North.Carolina,North.Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode.Island,South.Carolina,South.Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West.Virginia,Wisconsin,Wyoming
1955,3,128,197,88,678,23,82,3,7,57,8,12,113,162,86,53,206,24,80,33,200,303,57,16,61,19,12,0,63,73,69,150,98,33,128,43,49,191,73,25,12,69,579,57,18,82,124,239,146,16
1955,4,165,261,56,594,33,50,3,7,109,404,15,132,206,160,90,150,8,76,26,139,295,57,24,53,56,4,0,2,106,84,92,121,64,91,165,52,199,59,17,6,143,1002,86,13,147,113,178,223,6
1955,5,375,231,238,515,74,110,9,21,151,67,23,143,140,94,64,171,12,55,50,127,418,53,10,50,74,2,0,7,98,135,84,202,15,196,115,42,202,48,20,0,151,1248,153,51,155,105,213,252,5
1955,6,241,259,336,508,72,42,4,10,155,127,12,98,189,69,46,276,13,22,35,116,270,30,21,28,61,1,0,28,52,134,102,194,26,185,116,64,140,42,32,8,222,1405,60,4,181,103,256,148,12
1955,7,221,114,187,369,89,37,5,7,225,229,21,175,251,59,26,219,28,85,18,70,292,41,22,55,39,9,8,7,60,98,84,156,49,269,142,55,176,8,58,4,213,1690,75,67,220,73,213,157,14
1955,8,151,67,158,424,57,52,5,8,68,30,18,191,148,46,52,299,16,25,48,84,443,21,2,23,22,7,1,18,92,49,106,115,86,218,49,29,141,8,27,3,126,911,62,2,109,42,109,126,17
1955,9,91,73,143,269,73,45,7,5,109,59,12,199,162,38,44,198,6,53,21,55,476,27,27,31,3,14,0,2,105,41,90,61,35,189,55,34,176,7,25,4,68,612,23,1,73,44,101,167,28
1955,10,79,52,94,265,46,35,11,8,40,31,8,184,135,62,31,212,9,41,14,77,378,28,32,33,4,4,3,9,84,25,86,110,18,143,40,20,125,19,30,2,78,513,22,4,50,37,93,148,5
1955,11,79,68,148,221,62,53,12,2,20,13,1,130,153,41,32,193,2,19,39,54,332,36,43,27,6,2,0,17,158,17,123,166,7,126,41,28,225,13,19,0,61,526,71,6,59,44,106,153,0
1955,12,70,114,75,133,35,56,9,5,58,28,1,112,90,35,26,136,14,13,37,77,275,28,40,50,9,23,0,18,112,20,106,52,7,122,60,39,125,4,38,3,63,435,18,7,109,40,25,87,10
1956,1,63,83,75,156,40,13,6,0,31,25,6,72,61,57,23,180,4,49,18,66,242,27,13,18,1,24,0,6,86,42,96,58,3,39,41,28,141,0,49,6,50,477,23,16,45,52,39,112,2
1956,2,44,97,110,211,41,26,3,2,38,54,0,46,61,33,15,195,10,30,20,72,271,13,21,32,5,19,4,7,82,43,90,70,4,74,30,38,87,0,24,2,130,470,20,16,27,101,32,78,15
1956,3,54,115,159,148,70,22,3,4,46,53,4,45,38,58,14,47,2,54,13,51,146,13,22,28,3,7,5,0,61,39,72,51,8,37,43,20,131,0,41,0,185,834,62,2,31,33,22,87,24
1956,4,69,121,178,146,77,15,3,1,94,70,8,61,47,37,22,57,24,35,13,72,146,5,30,17,5,3,5,26,62,35,65,49,4,49,37,31,113,0,68,0,183,713,32,10,51,22,63,76,11
